LINEUPS,PPM,PFPM,TOVPM,BLKPM,STLPM,ASTPM,REBPM,DRBPM,ORBPM,FGPM,FGAPM,PM3P,PM3PA,PFDPM,plus_minusPM,FT%
".T. Ariza, .P. Tucker, .E. Gordon, .R. Anderson, .J. Harden",2.16363636363636,0.6,0.236363636363636,0.0727272727272727,0.109090909090909,0.272727272727273,0.854545454545454,0.618181818181818,0.236363636363636,0.709090909090909,1.87272727272727,0.345454545454545,1.16363636363636,0.4,-0.236363636363636,0.846153846153846
".T. Ariza, .R. Anderson, .I. Canaan, .D. Booker, .D. Ayton",2.16279069767442,0.348837209302326,0.372093023255814,0.0581395348837209,0.104651162790698,0.511627906976744,0.872093023255814,0.767441860465116,0.104651162790698,0.813953488372093,1.65116279069767,0.22093023255814,0.581395348837209,0.441860465116279,0,0.794117647058823
".T. Ariza, .R. Anderson, .J. Harden, .P. Beverley, .C. Capela",2.5960396039604,0.356435643564356,0.279207920792079,0.0693069306930693,0.188118811881188,0.613861386138614,0.900990099009901,0.655445544554455,0.245544554455446,0.916831683168317,1.84752475247525,0.36039603960396,0.904950495049505,0.41980198019802,0.384158415841584,0.751851851851852
".T. Ariza, .R. Anderson, .J. Harden, .P. Beverley, .M. Harrell",2.31122448979592,0.38265306122449,0.357142857142857,0.0816326530612245,0.183673469387755,0.5,0.943877551020408,0.704081632653061,0.239795918367347,0.821428571428571,1.83673469387755,0.311224489795918,0.877551020408163,0.408163265306122,0.076530612244898,0.804597701149425
".T. Ariza, .T. Warren, .D. Booker, .M. Bridges, .D. Ayton",2.34246575342466,0.465753424657534,0.219178082191781,0.0958904109589041,0.219178082191781,0.506849315068493,0.794520547945205,0.698630136986301,0.0958904109589041,0.958904109589041,1.93150684931507,0.219178082191781,0.671232876712329,0.287671232876712,0.0547945205479452,0.75
".T. Booker, .J. Hamilton, .J. Harris, .S. Kilpatrick, .I. Whitehead",2.04838709677419,0.467741935483871,0.387096774193548,0.0645161290322581,0.0806451612903226,0.435483870967742,0.967741935483871,0.725806451612903,0.241935483870968,0.741935483870968,1.67741935483871,0.290322580645161,0.693548387096774,0.387096774193548,-0.0806451612903226,0.62962962962963
".T. Booker, .Q. Acy, .S. Dinwiddie, .S. Kilpatrick, .I. Whitehead",2.390625,0.4375,0.375,0.078125,0.140625,0.34375,0.8125,0.671875,0.140625,0.765625,1.53125,0.296875,0.609375,0.5,0.28125,0.878048780487805
".T. Chandler, .E. Bledsoe, .T. Warren, .D. Booker, .M. Chriss",2.24406779661017,0.484745762711864,0.308474576271186,0.0915254237288136,0.213559322033898,0.454237288135593,0.928813559322034,0.694915254237288,0.233898305084746,0.813559322033898,1.7932203389830501,0.145762711864407,0.477966101694915,0.447457627118644,-0.105084745762712,0.794285714285714
".T. Chandler, .J. Dudley, .E. Bledsoe, .T. Warren, .D. Booker",2.3304347826087,0.51304347826087,0.278260869565217,0.0434782608695652,0.156521739130435,0.426086956521739,0.91304347826087,0.721739130434783,0.191304347826087,0.878260869565217,1.81739130434783,0.165217391304348,0.478260869565217,0.417391304347826,0.00869565217391304,0.712121212121212
".T. Chandler, .L. James, .L. Ball, .K. Kuzma, .J. Hart",2.34848484848485,0.363636363636364,0.333333333333333,0.0909090909090909,0.166666666666667,0.439393939393939,0.984848484848485,0.787878787878788,0.196969696969697,0.909090909090909,1.8030303030303,0.242424242424242,0.696969696969697,0.424242424242424,0.0151515151515152,0.558823529411765
