"","LINEUPS","PPM","PFPM","TOVPM","BLKPM","STLPM","ASTPM","REBPM","DRBPM","ORBPM","FGPM","FGAPM","PM3P","PM3PA","PFDPM","plus_minusPM","FT%"
"633",".J. Lamb, .M. Carter-Williams, .J. O'Bryant III, .F. Kaminsky, .T. Graham",2.03361344537815,0.470588235294118,0.19327731092437,0.0840336134453782,0.226890756302521,0.38655462184874,0.932773109243697,0.672268907563025,0.260504201680672,0.73109243697479,1.87394957983193,0.184873949579832,0.579831932773109,0.453781512605042,-0.126050420168067,0.807017543859649
"634",".J. McGee, .B. Ingram, .L. Ball, .K. Kuzma, .J. Hart",2.03614457831325,0.337349397590361,0.337349397590361,0.108433734939759,0.168674698795181,0.518072289156627,0.927710843373494,0.759036144578313,0.168674698795181,0.855421686746988,1.91566265060241,0.168674698795181,0.590361445783133,0.301204819277108,-0.469879518072289,0.541666666666667
"635",".J. McRoberts, .G. Dragic, .W. Ellington, .H. Whiteside, .R. McGruder",2.14736842105263,0.326315789473684,0.294736842105263,0.136842105263158,0.0947368421052632,0.6,0.91578947368421,0.642105263157895,0.273684210526316,0.863157894736842,1.84210526315789,0.210526315789474,0.494736842105263,0.315789473684211,-0.0947368421052632,0.740740740740741
"636",".J. Nelson, .D. Cunningham, .D. Cousins, .D. Miller, .I. Clark",2.3015873015873,0.492063492063492,0.349206349206349,0.111111111111111,0.0634920634920635,0.507936507936508,0.984126984126984,0.888888888888889,0.0952380952380952,0.857142857142857,1.6031746031746,0.253968253968254,0.650793650793651,0.396825396825397,0.650793650793651,0.875
"637",".J. Nelson, .D. Gallinari, .K. Faried, .G. Harris, .N. Jokic",2.48863636363636,0.238636363636364,0.284090909090909,0.0795454545454545,0.136363636363636,0.625,1.05681818181818,0.761363636363636,0.295454545454545,0.909090909090909,1.88636363636364,0.215909090909091,0.602272727272727,0.5,0.284090909090909,0.869565217391304
"638",".J. Nelson, .D. Gallinari, .K. Faried, .J. Lauvergne, .G. Harris",2.07692307692308,0.507692307692308,0.292307692307692,0.0923076923076923,0.0769230769230769,0.492307692307692,0.938461538461538,0.615384615384615,0.323076923076923,0.769230769230769,1.58461538461538,0.138461538461538,0.430769230769231,0.430769230769231,-0.323076923076923,0.722222222222222
"639",".J. Nelson, .D. Gallinari, .K. Faried, .J. Nurkic, .E. Mudiay",1.79245283018868,0.377358490566038,0.39622641509434,0.132075471698113,0.132075471698113,0.452830188679245,1.15094339622642,0.716981132075472,0.433962264150943,0.735849056603774,1.90566037735849,0.0377358490566038,0.358490566037736,0.566037735849057,-0.584905660377358,0.681818181818182
"640",".J. Nelson, .D. Gallinari, .K. Faried, .W. Barton, .G. Harris",2.28787878787879,0.439393939393939,0.166666666666667,0.0454545454545455,0.136363636363636,0.484848484848485,0.893939393939394,0.545454545454545,0.348484848484849,0.818181818181818,1.87878787878788,0.106060606060606,0.46969696969697,0.575757575757576,0.212121212121212,0.8
"641",".J. Nelson, .J. Holiday, .D. Cousins, .E. Moore, .A. Davis",1.9375,0.3,0.275,0.075,0.0875,0.475,0.9,0.7875,0.1125,0.6875,1.65,0.15,0.5625,0.4875,-0.15,0.891891891891892
"642",".J. Nelson, .K. Faried, .K. Papanikolaou, .J. Lauvergne, .G. Harris",1.63492063492063,0.333333333333333,0.396825396825397,0.0793650793650794,0.19047619047619,0.396825396825397,0.80952380952381,0.619047619047619,0.19047619047619,0.698412698412698,1.77777777777778,0.158730158730159,0.492063492063492,0.206349206349206,-0.714285714285714,0.625
"643",".J. Nelson, .R. Foye, .D. Arthur, .W. Barton, .N. Jokic",1.9875,0.4625,0.225,0.0125,0.125,0.3875,0.925,0.625,0.3,0.75,1.9375,0.1875,0.625,0.4875,-0.1,0.8
"644",".J. Nelson, .W. Chandler, .D. Gallinari, .G. Harris, .N. Jokic",2.39393939393939,0.419191919191919,0.303030303030303,0.0858585858585859,0.146464646464646,0.565656565656566,1.01515151515152,0.752525252525252,0.262626262626263,0.914141414141414,1.86868686868687,0.202020202020202,0.646464646464647,0.398989898989899,0.0707070707070707,0.9
"645",".J. Nelson, .W. Chandler, .D. Gallinari, .W. Barton, .N. Jokic",2.29411764705882,0.372549019607843,0.196078431372549,0.0392156862745098,0.156862745098039,0.509803921568627,0.941176470588235,0.627450980392157,0.313725490196078,0.882352941176471,2.01960784313725,0.196078431372549,0.745098039215686,0.313725490196078,0.0196078431372549,0.85
"646",".J. Nelson, .W. Chandler, .W. Barton, .G. Harris, .N. Jokic",2.49367088607595,0.367088607594937,0.291139240506329,0.0506329113924051,0.240506329113924,0.708860759493671,0.822784810126582,0.556962025316456,0.265822784810127,0.962025316455696,1.87341772151899,0.316455696202532,0.721518987341772,0.30379746835443,0.139240506329114,0.769230769230769
"647",".J. Nelson, .W. Chandler, .W. Barton, .J. Nurkic, .J. Murray",2.24528301886792,0.433962264150943,0.377358490566038,0.0377358490566038,0.169811320754717,0.566037735849057,1,0.849056603773585,0.150943396226415,0.811320754716981,1.67924528301887,0.283018867924528,0.622641509433962,0.377358490566038,0.0566037735849057,0.818181818181818
