"","LINEUPS","MIN","PTS","FGM","FGA","3PM","3PA","FTM","FTA","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD","+/-"
"627",".L. Williams, .D. Jordan, .T. Harris, .A. Rivers, .M. Teodosic",72,172,59,125,14,47,40,52,10,43,53,28,20,9,3,8,24,35,-15
"628",".L. Williams, .D. Jordan, .T. Harris, .A. Rivers, .S. Thornwell",163,390,148,291,29,74,65,85,39,116,155,77,46,25,13,20,60,68,25
"629",".L. Williams, .D. Jordan, .T. Harris, .A. Rivers, .T. Wallace",51,135,46,85,10,22,33,42,9,35,44,25,20,9,2,6,29,28,-12
"630",".L. Williams, .E. Gordon, .P. Beverley, .C. Capela, .S. Dekker",88,217,70,168,27,75,50,62,30,77,107,36,26,12,10,11,29,43,32
"631",".L. Williams, .G. Temple, .J. Green, .M. Harrell, .T. Wallace",73,211,76,141,15,37,44,56,16,54,70,40,21,13,4,15,46,42,37
"632",".L. Williams, .J. Clarkson, .T. Black, .L. Nance Jr., .B. Ingram",195,441,163,348,28,85,87,112,50,148,198,86,61,39,21,16,87,87,28
"633",".L. Williams, .M. Harrell, .S. Dekker, .S. Thornwell, .M. Teodosic",61,138,50,98,8,27,30,39,7,41,48,38,18,6,5,8,27,34,-3
"634",".L. Williams, .P. Beverley, .A. Bradley, .T. Harris, .M. Harrell",79,206,73,148,20,48,40,45,13,65,78,43,18,7,5,14,41,43,39
"635",".L. Williams, .P. Beverley, .M. Scott, .M. Harrell, .T. Wallace",116,322,125,227,26,55,46,67,26,86,112,66,31,19,20,19,68,67,48
"636",".L. Williams, .T. Robinson, .J. Clarkson, .T. Black, .B. Ingram",51,116,44,93,11,24,17,28,16,35,51,19,15,3,6,6,25,23,-3
